ZERO	feature\browser\src\main\java\top\wkbin\taixu\ui\browser\BrowserActionCard.kt	25	public	fun	BrowserActionCard	@Composable
SAMEFILE	feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageBubbles.kt	528	private	val	MAX_LIVE_TEXT_CHARS		REFS=feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageBubbles.kt|453
SAMEFILE	feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageBubbles.kt	530	private	val	generatedImageFlagCache		REFS=feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageBubbles.kt|384,feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageBubbles.kt|386
SAMEFILE	feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageBubbles.kt	538	private	val	taskPlanCache		REFS=feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageBubbles.kt|541,feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageBubbles.kt|556
SAMEFILE	feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageBubbles.kt	540	private	fun	extractTaskPlanSteps		REFS=feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageBubbles.kt|407
SAMEFILE	feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageBubbles.kt	561	private	fun	TaskPlanCard	@Composable	REFS=feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageBubbles.kt|409
SAMEFILE	feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageList.kt	75	private	val	ExpandedOverridesSaver		REFS=feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageList.kt|120
SAMEFILE	feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageList.kt	265	private	fun	AssistantGenerationPlaceholder	@Composable	REFS=feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageList.kt|245
SAMEFILE	feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageList.kt	301	internal	fun	EmptyChatGuidance	@Composable	REFS=feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageList.kt|155
SAMEFILE	feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageList.kt	450	private	fun	parseIconName		REFS=feature\settings\src\main\java\top\wkbin\taixu\ui\settings\QuickPhrasesScreen.kt|324,feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageList.kt|398
SAMEFILE	feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageList.kt	470	internal	fun	RoundCollapseButton	@Composable	REFS=feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageList.kt|185
SAMEFILE	feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageList.kt	514	internal	fun	ChatMessageSkeleton	@Composable	REFS=feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageList.kt|148
SAMEFILE	feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageList.kt	583	private	fun	shimmerBrush	@Composable	REFS=feature\workspace\src\main\java\top\wkbin\taixu\ui\workspace\WorkspaceScreen.kt|171,feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageList.kt|515
SAMEFILE	feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatScreen.kt	92	private	val	AgentBottomBarHeight		REFS=feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatScreen.kt|365
SAMEFILE	feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatScreen.kt	95	private	val	BrowserBottomBarHeight		REFS=feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatScreen.kt|556
SAMEFILE	feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatScreen.kt	98	private	fun	chatBottomInsets	@Composable	REFS=feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatScreen.kt|365,feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatScreen.kt|556
SAMEFILE	feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatScreen.kt	810	private	fun	ChatPaneContent	@Composable	REFS=feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatScreen.kt|369
SAMEFILE	feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatScreen.kt	994	private	fun	McpRecommendationBanner	@Composable	REFS=feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatScreen.kt|948
SAMEFILE	feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatToolCards.kt	56	private	val	DotRunning		REFS=feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatToolCards.kt|76
SAMEFILE	feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatToolCards.kt	57	private	val	DotSuccess		REFS=feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatToolCards.kt|77
SAMEFILE	feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatToolCards.kt	58	private	val	DotFailed		REFS=feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatToolCards.kt|78
SAMEFILE	feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatToolCards.kt	59	private	val	DiffAddedColor		REFS=feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatToolCards.kt|373
SAMEFILE	feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatToolCards.kt	60	private	val	DiffDeletedColor		REFS=feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatToolCards.kt|384
SAMEFILE	feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatToolCards.kt	340	internal	fun	toolArgsSummary		REFS=feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatToolCards.kt|132,feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatToolCards.kt|134
SAMEFILE	feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatToolCards.kt	351	internal	fun	DiffStatBadge	@Composable	REFS=feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatToolCards.kt|149
SAMEFILE	feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatToolCards.kt	390	private	val	DIFF_STAT_REGEX		REFS=feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatToolCards.kt|401
SAMEFILE	feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatToolCards.kt	395	internal	fun	parseDiffStat		REFS=feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatToolCards.kt|145
SAMEFILE	feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatViewModel.kt	70	private	val	MAX_RUNTIME_EVENTS		REFS=feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatViewModel.kt|149
SAMEFILE	feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatViewModel.kt	72	private	val	KEY_INPUT_DRAFT		REFS=feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatViewModel.kt|333,feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatViewModel.kt|339
SAMEFILE	feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatViewModel.kt	1046	private	fun	synthesizeHistoricalEvents		REFS=feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatViewModel.kt|1022,feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatViewModel.kt|1042
SAMEFILE	feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatViewModel.kt	1127	private	class	ContextUsageInputs		REFS=feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatViewModel.kt|362
SAMEFILE	feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt	183	private	fun	StatusDivider	@Composable	REFS=feature\browser\src\main\java\top\wkbin\taixu\ui\browser\BrowserScreen.kt|214,feature\browser\src\main\java\top\wkbin\taixu\ui\browser\BrowserScreen.kt|222,feature\browser\src\main\java\top\wkbin\taixu\ui\browser\BrowserScreen.kt|230,feature\browser\src\main\java\top\wkbin\taixu\ui\browser\BrowserScreen.kt|250,feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt|132,feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt|142,feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt|152,feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt|169
SAMEFILE	feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt	293	private	fun	SectionLabel	@Composable	REFS=feature\settings\src\main\java\top\wkbin\taixu\ui\settings\SshSettingsScreen.kt|126,feature\settings\src\main\java\top\wkbin\taixu\ui\settings\SshSettingsScreen.kt|178,feature\settings\src\main\java\top\wkbin\taixu\ui\settings\SshSettingsScreen.kt|217,feature\settings\src\main\java\top\wkbin\taixu\ui\settings\SshSettingsScreen.kt|256,feature\settings\src\main\java\top\wkbin\taixu\ui\settings\SshSettingsScreen.kt|287,feature\settings\src\main\java\top\wkbin\taixu\ui\settings\SshSettingsScreen.kt|325,feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt|272,feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt|277
SAMEFILE	feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt	302	private	fun	BranchCard	@Composable	REFS=feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt|274,feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt|279
SAMEFILE	feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt	535	private	fun	subagentTaskDetails		REFS=feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt|444
SAMEFILE	feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt	543	private	fun	MiniBadge	@Composable	REFS=feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt|322,feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt|323,feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt|324,feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt|408,feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt|409,feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt|1364
SAMEFILE	feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt	762	private	fun	CollapsibleRuntimeSectionCard	@Composable	REFS=feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt|594,feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt|651
SAMEFILE	feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt	822	internal	class	RoundGroup		REFS=feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt|861,feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt|868,feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt|870,feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt|877,feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt|888,feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt|889,feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt|949
