feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageBubbles.kt	530	private	val	generatedImageFlagCache	
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageBubbles.kt	532	private	class	TaskStepItem	
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageBubbles.kt	538	private	val	taskPlanCache	
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageBubbles.kt	540	private	fun	extractTaskPlanSteps	
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageBubbles.kt	561	private	fun	TaskPlanCard	@Composable
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageBubbles.kt	704	internal	fun	ThinkingBlock	@Composable
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageBubbles.kt	831	internal	fun	CapabilityEventCard	@Composable
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageList.kt	75	private	val	ExpandedOverridesSaver	
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageList.kt	84	internal	fun	ChatMessageList	@Composable
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageList.kt	265	private	fun	AssistantGenerationPlaceholder	@Composable
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageList.kt	301	internal	fun	EmptyChatGuidance	@Composable
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageList.kt	450	private	fun	parseIconName	
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageList.kt	470	internal	fun	RoundCollapseButton	@Composable
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageList.kt	514	internal	fun	ChatMessageSkeleton	@Composable
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageList.kt	583	private	fun	shimmerBrush	@Composable
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatPopups.kt	35	internal	fun	SlashCommandPopup	@Composable
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatPopups.kt	81	internal	fun	MentionPopup	@Composable
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatScreen.kt	92	private	val	AgentBottomBarHeight	
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatScreen.kt	95	private	val	BrowserBottomBarHeight	
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatScreen.kt	98	private	fun	chatBottomInsets	@Composable
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatScreen.kt	112	public	fun	ChatScreen	@Composable
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatScreen.kt	810	private	fun	ChatPaneContent	@Composable
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatScreen.kt	994	private	fun	McpRecommendationBanner	@Composable
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatSheets.kt	63	internal	fun	SkillsAndMcpSheet	@Composable | @OptIn(ExperimentalMaterial3Api::class)
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatSheets.kt	472	internal	fun	ReasoningEffortSlider	@Composable
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatSheets.kt	659	internal	fun	ApprovalModeSheet	@Composable | @OptIn(ExperimentalMaterial3Api::class)
feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatToolCards.kt	56	private	val	DotRunning	
